Almonds_1,2015,2016,,,
European Union,38,36,,,
China/Hong Kong,10,12,,,
India,10,11,,,
Canada,6,6,,,
United Arab Emirates,7,5,,,
Japan,6,5,,,
Other destinations,22,25,,,
,,,,,
Wine_2,2015,2016,,,
European Union,41,44,,,
Canada,26,24,,,
China/Hong Kong,10,11,,,
Japan,7,5,,,
Other destinations,16,16,,,
,,,,,
Dairy and products_3,2015,2016,,,
Mexico,28,30,,,
Canada,9,12,,,
China/Hong Kong,9,9,,,
Philippines,6,<5,,,
Japan,5,<5,,,
Other destinations,33,43,,,
,,,,,
Walnuts_4,2015,2016,,,
European Union,30,31,,,
Turkey,10,14,,,
Japan,8,7,,,
Korea,8,7,,,
China/Hong Kong,10,6,,,
Canada,6,5,,,
Mexico,<5,5,,,
United Arab Emirates,<5,5,,,
Vietnam,6,<5,,,
Other destinations,29,16,,,
,,,,,
Pistachios_5,2015,2016,,,
China/Hong Kong,21,46,,,
European Union,51,33,,,
Canada ,8,5,,,
Other destinations,21,16,,,
,,,,,
Table Grapes_6,2015,2016,,,
Canada,30,29,,,
China/Hong Kong,11,11,,,
Mexico,12,10,,,
Philippines,<5,6,,,
Australia,5,5,,,
Taiwan,5,5,,,
Japan,<5,5,,,
Other destinations,41,29,,,
,,,,,
"Tomatoes, processed_7",2015,2016,,,
Canada,53,40,,,
Mexico,<5,12,,,
European Union,13,11,,,
Japan,20,5,,,
Australia,8,<5,,,
Other destinations,6,32,,,
,,,,,
Rice_8,2015,2016,,,
Japan,37,33,,,
Korea,18,15,,,
Jordan,11,10,,,
Canada,8,8,,,
Papua New Guin,5,<5,,,
European Union,<5,5,,,
Other destinations,22,27,,,
,,,,,
Oranges and Products_9,2015,2016,,,
Korea,28,27,,,
Canada,23,22,,,
China/Hong Kong,16,20,,,
Japan,12,13,,,
Australia,5,<5,,,
Other destinations,16,15,,,
,,,,,
Strawberries_10,2015,2016,,,
Canada,71,70,,,
Mexico,9,9,,,
Japan,7,7,,,
Other destinations,13,14,,,
,,,,,
Hay_12,2015,2016,,,
Japan,38,33,,,
China/Hong Kong,30,30,,,
Korea,16,15,,,
United Arab Emirates,8,9,,,
Saudi Arabia,<5,6,,,
Other destinations,8,7,,,
,,,,,
Cotton_13,2015,2016,,,
India,19,37,,,
China/Hong Kong,26,27,,,
Vietnam,7,7,,,
Turkey,6,5,,,
Pakistan,9,<5,,,
Peru,7,<5,,,
Thailand,6,<5,,,
Other destinations,22,24,,,
,,,,,
Raisins_14,2015,2016,,,
European Union,24,25,,,
Japan ,19,20,,,
Canada ,10,11,,,
China/Hong Kong,10,9,,,
Mexico,5,<5,,,
Other destinations,32,31,,,
,,,,,
Beef  and products_153,2015,2016,,,
