"country","name","almonds","wine","dairy_and_products","walnuts","pistachios","table_grapes","tomatoes_processed","rice","oranges_and_products","strawberries","hay","cotton","raisins","beef_ and_products","lettuce","lemons","dried_plums","peaches_and_nectarines","raspberries_and_blackberries","cauliflower","broccoli","flowers_and_nursery","spinach","onions","cherries","celery","carrots","plums","melons","dates","tangerines_and_mandarins","garlic","blueberries","tomatoes_fresh","olives_and_olive oil","pears","sweet_potatoes","grapefruit","potatoes","avocado","grape_juice","bell_and_chili peppers","dry_beans","asparagus","apricots","kiwi","cabbage","figs","cottonseed_and_byproducts","artichokes"
"european union","yr_2015",38,41,0,30,51,0,13,0,0,0,0,0,24,0,0,9,43,0,0,0,0,0,0,8,0,0,0,0,0,16,8,11,0,0,0,0,67,26,0,0,0,0,43,13,0,9,0,0,0,0
"european union","yr_2016",36,44,0,31,33,0,11,5,0,0,0,0,25,0,0,5,34,0,0,0,0,8,0,11,0,0,0,0,0,15,7,12,13,0,0,0,72,26,0,0,0,0,36,19,0,0,0,0,5,0
"china/hong kong","yr_2015",10,10,9,10,21,11,0,0,16,0,30,26,10,33,0,10,0,0,0,0,0,0,0,0,23,0,0,28,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,6,0
"china/hong kong","yr_2016",12,11,9,6,46,11,0,0,20,0,30,27,9,24,0,9,0,0,0,0,0,0,0,0,23,5,0,35,0,0,0,0,5,0,0,0,0,0,0,7,5,0,0,0,0,0,0,10,0,0
"india","yr_2015",10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"india","yr_2016",11,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"canada","yr_2015",6,26,9,6,8,30,53,8,23,71,0,0,10,0,89,28,8,57,85,81,74,38,95,46,27,78,92,42,87,27,53,44,59,82,44,66,32,18,45,52,65,94,14,56,60,24,91,49,10,74
"canada","yr_2016",6,24,12,5,5,29,40,8,22,70,0,0,11,0,87,33,7,56,78,79,60,31,94,49,25,74,94,38,83,26,50,33,64,94,45,67,26,20,43,26,69,95,18,22,54,16,95,48,5,70
"united arab emirates","yr_2015",7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"united arab emirates","yr_2016",5,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
