"team_name","year","total","avg_attnd"
"Cardinals",2000,893926,55870.375
"Falcons",2000,964579,60286.1875
"Ravens",2000,1062373,66398.3125
"Bills",2000,1098587,68661.6875
"Panthers",2000,1095192,68449.5
"Bears",2000,1080684,67542.75
"Bengals",2000,967434,60464.625
"Browns",2000,1057139,66071.1875
"Cowboys",2000,1075470,67216.875
"Broncos",2000,1140030,71251.875
"Lions",2000,1140926,71307.875
"Packers",2000,1049602,65600.125
"Colts",2000,1008013,63000.8125
"Jaguars",2000,991957,61997.3125
"Chiefs",2000,1115272,69704.5
"Dolphins",2000,1118883,69930.1875
"Vikings",2000,1029262,64328.875
"Patriots",2000,1030594,64412.125
"Saints",2000,980803,61300.1875
"Giants",2000,1135455,70965.9375
"Jets",2000,1145146,71571.625
"Raiders",2000,998655,62415.9375
"Eagles",2000,1039856,64991
"Steelers",2000,987037,61689.8125
"Chargers",2000,981863,61366.4375
"49ers",2000,1057954,66122.125
"Seahawks",2000,1029085,64317.8125
"Rams",2000,1081368,67585.5
"Buccaneers",2000,1080729,67545.5625
"Titans",2000,1091274,68204.625
"Redskins",2000,1174332,73395.75
"Cardinals",2001,811391,50711.9375
"Falcons",2001,917882,57367.625
"Ravens",2001,1064731,66545.6875
"Bills",2001,1005954,62872.125
"Panthers",2001,1085651,67853.1875
"Bears",2001,1059454,66215.875
"Bengals",2001,988273,61767.0625
"Browns",2001,1089586,68099.125
"Cowboys",2001,1056213,66013.3125
"Broncos",2001,1115203,69700.1875
"Lions",2001,1093748,68359.25
"Packers",2001,1040215,65013.4375
"Colts",2001,1006986,62936.625
"Jaguars",2001,987779,61736.1875
"Chiefs",2001,1120677,70042.3125
"Dolphins",2001,1119236,69952.25
"Vikings",2001,1045690,65355.625
"Patriots",2001,977717,61107.3125
"Saints",2001,1111335,69458.4375
"Giants",2001,1156600,72287.5
"Jets",2001,1158872,72429.5
"Raiders",2001,1035571,64723.1875
"Eagles",2001,1061162,66322.625
"Steelers",2001,1055127,65945.4375
"Chargers",2001,1005530,62845.625
"49ers",2001,1061811,66363.1875
"Seahawks",2001,1034365,64647.8125
"Rams",2001,1081519,67594.9375
"Buccaneers",2001,1038298,64893.625
"Titans",2001,1089472,68092
"Redskins",2001,1137730,71108.125
"Cardinals",2002,898877,56179.8125
"Falcons",2002,1099147,68696.6875
"Ravens",2002,1073464,67091.5
"Bills",2002,1119646,69977.875
"Panthers",2002,1092895,68305.9375
"Bears",2002,1029316,64332.25
"Bengals",2002,934265,58391.5625
"Browns",2002,1110061,69378.8125
"Cowboys",2002,1047411,65463.1875
"Broncos",2002,1161974,72623.375
"Lions",2002,994267,62141.6875
"Packers",2002,1046418,65401.125
"Texans",2002,1061722,66357.625
"Colts",2002,1004762,62797.625
"Jaguars",2002,975226,60951.625
"Chiefs",2002,1166177,72886.0625
"Dolphins",2002,1144504,71531.5
"Vikings",2002,1045728,65358
"Patriots",2002,1096069,68504.3125
"Saints",2002,1068183,66761.4375
"Giants",2002,1123668,70229.25
"Jets",2002,1145070,71566.875
"Raiders",2002,1042142,65133.875
"Eagles",2002,1066147,66634.1875
"Steelers",2002,1023448,63965.5
"Chargers",2002,992665,62041.5625
"49ers",2002,1058751,66171.9375
"Seahawks",2002,984773,61548.3125
"Rams",2002,1073461,67091.3125
"Buccaneers",2002,1044920,65307.5
"Titans",2002,1050989,65686.8125
