"lob","benchmark_type","category","mcg","prcnt_bnmrk","prcnt_actul","label_bnmrk","label_actul"
"com","south atlantic","card","m-190",0.07,0.05,"0.07%","0.05%"
"com","east south central","neo","p-265",0.09,0.24,"0.09%","0.24%"
"com","well managed","gi","m-250",0.04,0.03,"0.04%","0.03%"
"com","others","unclx","a-hsc",0.12,0.02,"0.12%","0.02%"
"com","new england","ob","s-1181",0.08,0.1,"0.08%","0.1%"
"com","new england","ped","p-147",0,0,"0%","0%"
"com","loosely managed","neo","p-358",0.11,0.13,"0.11%","0.13%"
"com","west south central","neo","p-15",0.01,0.01,"0.01%","0.01%"
"com","loosely managed","gs","s-845",0,0,"0%","0%"
"com","east north central","ped","p-411",0,0,"0%","0%"
"com","middle atlantic","gs","s-360",0,0,"0%","0%"
"com","loosely managed","gs","s-445",0,0,"0%","0%"
"com","west south central","gs","s-795",0,0,"0%","0%"
"com","weighted national","neo","p-340",0,0,"0%","0%"
"com","east north central","cv","s-1310",0.01,0.01,"0.01%","0.01%"
"com","west south central","ob","m-195",0,0,"0%","0%"
"com","east north central","ort","m-63",0.01,0.01,"0.01%","0.01%"
"com","west north central","ped","p-114",0,0,"0%","0%"
"com","east north central","ped","p-950",0,0,"0%","0%"
"com","weighted national","gi","mg-gas",0.07,0.05,"0.07%","0.05%"
"com","west south central","neo","p-155",0,0,"0%","0%"
"com","weighted national","cv","sg-cvs",0.05,0.05,"0.05%","0.05%"
"com","well managed","uro","mg-ud",0.01,0.03,"0.01%","0.03%"
"com","moderately managed","ort","s-460",0,0,"0%","0%"
"com","west north central","ped","p-202",0,0,"0%","0%"
"com","pacific","ped","p-30",0.01,0,"0.01%","0%"
"com","west north central","ort","s-100",0.01,0.01,"0.01%","0.01%"
"com","east south central","neuro","m-83",0.07,0.05,"0.07%","0.05%"
"com","pacific","ort","s-820",0.05,0.06,"0.05%","0.06%"
"com","moderately managed","ort","s-421",0,0,"0%","0%"
"com","new england","uro","s-870",0.01,0.01,"0.01%","0.01%"
"com","moderately managed","gs","s-370",0,0,"0%","0%"
"com","pacific","ob","m-132",0,0,"0%","0%"
"com","mountain","unclx","a-apc",0,0,"0%","0%"
"com","east north central","gs","s-445",0,0,"0%","0%"
"com","west north central","gs","s-1200",0,0,"0%","0%"
"com","west north central","ort","s-424",0,0,"0%","0%"
"com","east south central","hns","s-1000",0,0.01,"0%","0.01%"
"com","middle atlantic","neuro","m-580",0.02,0.02,"0.02%","0.02%"
"com","moderately managed","ns","s-1050",0,0,"0%","0%"
"com","west north central","bh","b-014-ip",0.01,0.02,"0.01%","0.02%"
"com","south atlantic","ort","s-580",0,0,"0%","0%"
"com","pacific","cv","s-535",0,0,"0%","0%"
"com","loosely managed","ped","p-535",0,0,"0%","0%"
"com","west north central","cv","s-290",0.02,0.01,"0.02%","0.01%"
"com","east north central","thor","m-350",0.01,0,"0.01%","0%"
"com","mountain","neuro","m-83",0.04,0.05,"0.04%","0.05%"
"com","loosely managed","gs","s-1060",0,0,"0%","0%"
"com","pacific","card","m-197",0.01,0.02,"0.01%","0.02%"
"com","south atlantic","cv","s-1310",0.01,0.01,"0.01%","0.01%"
"com","west south central","bh","b-001-ip",0,0,"0%","0%"
"com","middle atlantic","bh","b-011-ip",0.01,0.01,"0.01%","0.01%"
"com","new england","card","m-270",0,0.01,"0%","0.01%"
"com","west north central","ped","p-300",0,0,"0%","0%"
"com","south atlantic","ort","s-565",0,0,"0%","0%"
"com","middle atlantic","ort","s-460",0,0,"0%","0%"
"com","moderately managed","ort","s-705",0,0,"0%","0%"
"com","mountain","neuro","m-152",0,0,"0%","0%"
"com","others","gs","s-370",0,0,"0%","0%"
"com","east north central","ort","s-490",0,0,"0%","0%"
"com","west north central","ort","s-340",0,0,"0%","0%"
"com","west north central","ort","s-60",0,0,"0%","0%"
"com","south atlantic","thor","pg-rf",0.05,0.04,"0.05%","0.04%"
"com","middle atlantic","ort","m-63",0.01,0.01,"0.01%","0.01%"
"com","well managed","neuro","m-580",0.01,0.02,"0.01%","0.02%"
"com","new england","card","m-510",0.02,0.01,"0.02%","0.01%"
"com","east north central","ort","s-633",0,0,"0%","0%"
"com","others","gi","m-550",0.02,0.01,"0.02%","0.01%"
"com","others","ort","s-1132",0,0,"0%","0%"
"com","others","gi","m-150",0.05,0.02,"0.05%","0.02%"
"com","loosely managed","gi","m-555",0.02,0.01,"0.02%","0.01%"
"com","east north central","ped","p-52",0,0,"0%","0%"
"com","west south central","bh","b-018-ip",0,0,"0%","0%"
"com","west north central","neph","m-325",0,0.01,"0%","0.01%"
"com","others","ob","mg-obd-gy",0.15,0.01,"0.15%","0.01%"
"com","pacific","gi","m-370",0,0.01,"0%","0.01%"
"com","east north central","ob","s-350",0.58,0.57,"0.58%","0.57%"
"com","new england","ped","p-470",0,0,"0%","0%"
"com","new england","ophth","s-900",0,0,"0%","0%"
"com","west north central","bh","b-004-ip",0.05,0.05,"0.05%","0.05%"
"com","middle atlantic","thor","s-1082",0.02,0.01,"0.02%","0.01%"
"com","west south central","thor","sg-ts",0.01,0,"0.01%","0%"
"com","well managed","bh","b-011-ip",0.01,0.01,"0.01%","0.01%"
"com","loosely managed","card","m-154",0.01,0,"0.01%","0%"
"com","west north central","cv","s-480",0,0,"0%","0%"
"com","south atlantic","thor","m-100",0.05,0.02,"0.05%","0.02%"
"com","moderately managed","ns","s-412",0,0,"0%","0%"
"com","south atlantic","ort","s-470",0,0,"0%","0%"
"com","weighted national","ort","s-572",0,0,"0%","0%"
"com","middle atlantic","bh","b-002-ip",0.01,0.01,"0.01%","0.01%"
"com","east south central","id","m-70",0.08,0.03,"0.08%","0.03%"
"com","south atlantic","gi","m-550",0.01,0.01,"0.01%","0.01%"
"com","west south central","uro","s-200",0,0,"0%","0%"
"com","west north central","neo","p-340",0,0,"0%","0%"
"com","east north central","ort","s-110",0,0,"0%","0%"
"com","east south central","ort","s-675",0,0,"0%","0%"
"com","well managed","gi","m-170",0.03,0.04,"0.03%","0.04%"
"com","west north central","bh","b-023-ip",0.01,0,"0.01%","0%"
"com","weighted national","gi","m-560",0.01,0.01,"0.01%","0.01%"
"com","well managed","cv","s-1310",0,0.01,"0%","0.01%"
"com","others","uro","sg-us",0,0.01,"0%","0.01%"
"com","south atlantic","ped","p-535",0,0,"0%","0%"
"com","moderately managed","gs","s-860",0,0,"0%","0%"
"com","others","ped","p-535",0,0,"0%","0%"
"com","east north central","ped","p-443",0,0,"0%","0%"
"com","new england","neo","p-265",0.17,0.24,"0.17%","0.24%"
"com","mountain","ort","s-1210",0,0,"0%","0%"
"com","middle atlantic","ort","s-705",0,0,"0%","0%"
"com","well managed","gs","s-516",0.03,0.13,"0.03%","0.13%"
"com","middle atlantic","hns","s-790",0,0,"0%","0%"
"com","west south central","gs","s-515",0,0,"0%","0%"
"com","west north central","neuro","m-327",0.02,0.01,"0.02%","0.01%"
"com","others","ped","p-320",0,0,"0%","0%"
"com","mountain","uro","s-890",0.01,0.02,"0.01%","0.02%"
"com","middle atlantic","ped","p-52",0,0,"0%","0%"
"com","east south central","gi","m-200",0.01,0,"0.01%","0%"
"com","east north central","gi","m-180",0.02,0.02,"0.02%","0.02%"
"com","mountain","ped","p-375",0,0,"0%","0%"
"com","west north central","bh","b-026-ip",0,0,"0%","0%"
"com","loosely managed","gs","s-510",0,0,"0%","0%"
